timestamp, power.draw [W]
2025/06/01 22:21:28.859, 3.20 W
2025/06/01 22:21:29.860, 3.05 W
2025/06/01 22:21:30.861, 3.04 W
2025/06/01 22:21:31.862, 3.02 W
2025/06/01 22:21:32.863, 3.09 W
2025/06/01 22:21:33.865, 3.04 W
2025/06/01 22:21:34.866, 2.98 W
2025/06/01 22:21:35.867, 3.32 W
2025/06/01 22:21:36.868, 3.10 W
2025/06/01 22:21:37.869, 3.07 W
2025/06/01 22:21:38.870, 3.28 W
2025/06/01 22:21:39.871, 2.95 W
2025/06/01 22:21:41.370, 3.09 W
2025/06/01 22:21:42.371, 3.38 W
2025/06/01 22:21:43.372, 3.08 W
2025/06/01 22:21:44.373, 3.06 W
2025/06/01 22:21:45.374, 3.06 W
2025/06/01 22:21:46.375, 3.00 W
2025/06/01 22:21:47.377, 2.99 W
2025/06/01 22:21:48.378, 2.96 W
2025/06/01 22:21:49.379, 2.96 W
2025/06/01 22:21:50.380, 3.00 W
2025/06/01 22:21:51.382, 2.96 W
2025/06/01 22:21:52.385, 2.96 W
2025/06/01 22:21:53.387, 3.01 W
2025/06/01 22:21:54.388, 3.02 W
2025/06/01 22:21:55.389, 3.06 W
2025/06/01 22:21:56.391, 2.72 W
2025/06/01 22:21:57.392, 3.62 W
2025/06/01 22:21:58.393, 3.12 W
2025/06/01 22:21:59.394, 4.13 W
2025/06/01 22:22:00.395, 3.10 W
2025/06/01 22:22:01.396, 3.16 W
2025/06/01 22:22:02.398, 3.07 W
2025/06/01 22:22:03.399, 3.02 W
2025/06/01 22:22:04.400, 3.10 W
2025/06/01 22:22:05.401, 2.97 W
2025/06/01 22:22:06.402, 3.11 W
2025/06/01 22:22:07.404, 3.06 W
2025/06/01 22:22:08.405, 3.02 W
2025/06/01 22:22:09.406, 3.04 W
2025/06/01 22:22:10.411, 2.96 W
2025/06/01 22:22:11.412, 3.37 W
2025/06/01 22:22:12.413, 3.13 W
2025/06/01 22:22:13.414, 3.18 W
2025/06/01 22:22:14.912, 3.11 W
2025/06/01 22:22:15.913, 3.08 W
2025/06/01 22:22:16.914, 2.69 W
2025/06/01 22:22:17.915, 3.08 W
2025/06/01 22:22:18.916, 3.03 W
2025/06/01 22:22:19.917, 3.03 W
2025/06/01 22:22:20.918, 2.88 W
2025/06/01 22:22:21.919, 3.00 W
2025/06/01 22:22:22.920, 3.25 W
2025/06/01 22:22:23.921, 2.96 W
2025/06/01 22:22:24.923, 2.94 W
2025/06/01 22:22:25.926, 3.01 W
2025/06/01 22:22:26.927, 3.06 W
2025/06/01 22:22:27.928, 3.02 W
2025/06/01 22:22:28.930, 3.03 W
2025/06/01 22:22:29.931, 2.96 W
2025/06/01 22:22:30.932, 3.03 W
2025/06/01 22:22:31.933, 3.04 W
2025/06/01 22:22:32.934, 3.09 W
2025/06/01 22:22:33.935, 3.32 W
