frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
129,0.110,1999.550,0.044,5004.705,0.067,0.105,2099.833,0.044,4947.014
130,0.101,2183.987,0.045,4901.110,0.171,0.270,814.236,0.163,1350.867
131,0.098,2237.359,0.043,5056.300,0.065,0.106,2063.238,0.043,5143.412
132,0.110,1990.277,0.043,5120.399,0.072,0.145,1514.103,0.043,5060.026
133,0.101,2183.987,0.044,5041.450,0.071,0.106,2080.114,0.044,5041.450
134,0.110,1998.968,0.043,5147.268,0.072,0.166,1319.711,0.043,5128.047
135,0.120,1833.499,0.044,5041.450,0.078,0.118,1868.932,0.043,5093.809
136,0.122,1800.801,0.043,5162.748,0.079,0.161,1365.100,0.045,4838.939
137,0.107,2051.525,0.043,5158.869,0.070,0.097,2254.253,0.042,5285.955
138,0.120,1827.643,0.044,5019.338,0.074,0.714,307.527,0.043,5120.399
139,0.143,1533.718,0.043,5082.498,0.070,0.112,1955.141,0.050,4412.889
140,0.116,1895.240,0.042,5190.064,0.076,0.110,2003.634,0.043,5143.412
141,0.103,2131.116,0.043,5124.221,0.065,0.111,1983.951,0.043,5131.880
142,0.148,1483.356,0.043,5067.495,0.066,0.110,2000.133,0.041,5310.483
143,0.108,2041.765,0.044,4997.420,0.070,0.183,1202.321,0.043,5086.263
144,0.487,451.384,0.044,4972.089,0.065,0.098,2244.673,0.043,5108.970
145,0.143,1531.323,0.154,1426.351,0.206,0.188,1171.350,0.043,5135.718
146,0.147,1495.634,0.043,5090.033,0.071,0.159,1382.693,0.043,5116.583
147,0.146,1500.864,0.042,5178.322,0.073,0.096,2282.731,0.043,5052.579
148,0.130,1696.259,0.044,4950.581,0.073,0.143,1536.120,0.043,5067.495
149,0.103,2133.102,0.045,4908.117,0.071,0.159,1380.469,0.043,5135.718
150,0.096,2296.473,0.044,5004.705,0.064,0.099,2212.844,0.043,5067.495
151,0.194,1134.014,0.045,4915.143,0.071,0.138,1592.406,0.045,4915.143
152,0.119,1850.298,0.046,4771.685,0.064,0.096,2281.972,0.042,5205.804
153,0.127,1732.641,0.044,4964.899,0.102,0.106,2068.209,0.042,5201.860
154,0.104,2103.049,0.045,4862.928,0.073,0.109,2015.988,0.043,5135.718
155,0.113,1939.129,0.043,5112.773,0.069,0.155,1418.689,0.045,4887.157
156,0.109,2013.033,0.043,5128.047,0.067,0.109,2008.910,0.042,5217.671
157,0.104,2114.708,0.043,5097.591,0.067,0.113,1942.970,0.042,5233.579
158,0.106,2080.744,0.042,5197.922,0.066,0.096,2297.242,0.041,5331.099
159,0.110,2003.050,0.045,4859.487,0.064,0.120,1831.055,0.042,5186.145
160,0.108,2034.505,0.044,4993.786,0.073,0.110,1994.323,0.045,4904.611
161,0.080,2749.882,0.042,5170.523,0.077,0.119,1841.366,0.044,4997.420
162,0.106,2066.964,0.041,5326.963,0.064,0.137,1600.946,0.043,5093.809
163,0.109,2018.358,0.044,4986.532,0.067,0.242,907.781,0.045,4873.283
164,0.149,1470.963,0.043,5090.033,0.074,0.171,1284.650,0.046,4828.731
165,0.111,1979.376,0.043,5078.739,0.067,0.105,2097.909,0.041,5347.707
166,0.119,1845.325,0.044,4990.156,0.075,0.106,2068.209,0.043,5082.498
167,0.218,1006.959,0.149,1474.438,0.233,0.293,749.613,0.146,1509.775
168,0.227,967.515,0.149,1478.883,0.185,0.231,952.220,0.148,1483.997
169,0.218,1005.632,0.149,1479.202,0.163,0.234,940.739,0.146,1500.209
170,0.238,922.539,0.150,1469.075,0.188,0.339,648.391,0.147,1493.682
171,0.235,935.994,0.151,1455.683,0.179,0.245,896.755,0.146,1508.779
172,0.229,958.199,0.148,1483.677,0.172,0.314,700.587,0.148,1484.318
173,0.219,1004.602,0.148,1487.211,0.246,0.286,768.232,0.148,1488.178
174,0.221,993.411,0.152,1448.314,0.175,0.295,746.029,0.203,1080.481
175,0.230,953.807,0.148,1484.318,0.216,0.328,670.160,0.148,1485.281
176,0.276,796.388,0.148,1481.116,0.186,0.389,564.583,0.148,1488.501
177,0.253,866.977,0.148,1486.568,0.202,0.309,710.078,0.147,1493.357
178,0.234,937.272,0.151,1456.300,0.207,0.353,622.469,0.148,1489.147
179,0.242,909.705,0.148,1484.318,0.243,0.333,660.427,0.145,1511.436
180,0.258,852.340,0.148,1481.116,0.175,0.369,595.375,0.148,1489.147
181,0.253,869.502,0.149,1470.963,0.586,0.347,633.320,0.149,1477.610
182,0.296,741.198,0.147,1499.226,0.524,0.255,862.620,0.145,1514.771
183,0.266,826.487,0.148,1481.436,0.522,0.261,841.168,0.149,1474.754
184,0.251,875.377,0.149,1477.610,0.541,0.307,715.628,0.145,1514.103
185,0.280,783.842,0.148,1481.755,0.546,0.344,639.156,0.149,1471.593
186,0.270,813.754,0.146,1502.835,0.549,0.301,730.707,0.147,1492.708
187,0.265,827.683,0.151,1455.066,0.522,0.280,785.995,0.148,1483.677
188,0.257,856.060,0.148,1481.755,0.577,0.569,386.407,0.147,1491.411
189,0.235,934.339,0.148,1479.839,0.527,0.310,708.466,0.146,1503.494
190,0.255,861.213,0.148,1483.677,0.591,0.285,771.079,0.149,1475.071
191,0.285,770.300,0.146,1503.494,0.575,0.291,754.058,0.148,1481.436
192,0.255,861.430,0.148,1483.997,0.519,0.302,728.459,0.148,1488.501
193,0.233,943.972,0.146,1503.823,0.531,0.310,708.905,0.148,1483.036
194,0.266,824.998,0.146,1502.507,0.583,0.544,404.099,0.147,1491.087
195,0.232,946.706,0.148,1485.924,0.564,0.446,493.209,0.148,1489.147
196,0.223,987.411,0.148,1480.797,0.633,0.273,803.940,0.148,1481.116
197,0.274,801.407,0.148,1479.839,0.566,0.376,584.977,0.147,1491.735
198,0.231,949.192,0.150,1469.703,0.912,0.286,768.748,0.146,1510.107
199,0.249,882.691,0.151,1454.141,0.910,0.255,861.430,0.146,1500.537
200,0.237,927.523,0.152,1445.570,0.928,0.332,660.935,0.148,1484.639
201,0.239,917.607,0.150,1460.327,0.990,0.270,812.502,0.150,1465.000
202,0.227,968.061,0.150,1468.446,0.943,0.234,937.272,0.147,1495.960
203,0.240,916.995,0.151,1450.762,0.980,0.220,997.596,0.148,1484.318
204,0.219,1001.379,0.148,1481.755,0.942,0.250,878.288,0.148,1483.997
205,0.237,927.899,0.149,1476.022,0.938,0.387,568.133,0.149,1479.521
206,0.224,982.325,0.155,1414.015,0.974,0.252,870.273,0.148,1483.997
207,0.217,1012.602,0.148,1483.677,0.954,0.399,551.213,0.150,1469.389
208,0.250,877.390,0.148,1486.889,1.012,0.305,721.342,0.147,1497.918
209,0.237,928.025,0.146,1500.864,0.920,0.332,661.062,0.147,1490.440
210,0.221,994.562,0.148,1484.639,0.909,0.245,897.341,0.146,1509.775
211,0.222,991.260,0.150,1464.688,0.986,0.303,724.080,0.148,1486.889
212,0.241,910.067,0.146,1503.164,0.982,0.253,870.053,0.146,1501.521
213,0.213,1030.999,0.151,1455.374,0.926,0.328,670.880,0.157,1395.905
