frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
156,N/A,N/A,0.116,1902.065,0.073,N/A,N/A,0.048,4611.454
157,N/A,N/A,0.119,1850.298,0.063,N/A,N/A,0.045,4832.129
158,N/A,N/A,0.115,1904.703,0.066,N/A,N/A,0.046,4791.665
159,N/A,N/A,0.124,1766.973,0.072,N/A,N/A,0.053,4146.410
160,N/A,N/A,0.105,2096.627,0.066,N/A,N/A,0.046,4758.458
161,N/A,N/A,0.216,1018.611,0.194,N/A,N/A,0.200,1099.512
162,N/A,N/A,0.244,900.047,0.186,N/A,N/A,0.182,1205.911
163,N/A,N/A,0.214,1024.538,0.187,N/A,N/A,0.185,1189.408
164,N/A,N/A,0.227,969.154,0.187,N/A,N/A,0.155,1414.306
165,N/A,N/A,0.252,873.484,0.202,N/A,N/A,0.156,1409.950
166,N/A,N/A,0.227,969.017,0.205,N/A,N/A,0.197,1117.951
167,N/A,N/A,0.229,960.343,0.178,N/A,N/A,0.187,1171.950
168,N/A,N/A,0.226,972.035,0.182,N/A,N/A,0.190,1156.553
169,N/A,N/A,0.224,978.825,0.176,N/A,N/A,0.185,1185.302
170,N/A,N/A,0.267,824.106,0.240,N/A,N/A,0.229,959.538
171,N/A,N/A,0.216,1017.253,0.202,N/A,N/A,0.182,1204.008
172,N/A,N/A,0.220,999.630,0.183,N/A,N/A,0.246,894.536
173,N/A,N/A,0.240,915.894,0.183,N/A,N/A,0.155,1417.225
174,N/A,N/A,0.230,956.464,0.184,N/A,N/A,0.156,1406.484
175,N/A,N/A,0.217,1013.499,0.256,N/A,N/A,0.230,954.470
176,N/A,N/A,0.230,954.868,0.202,N/A,N/A,0.160,1373.291
177,N/A,N/A,0.281,781.878,0.560,N/A,N/A,0.232,945.402
178,N/A,N/A,0.226,972.035,0.629,N/A,N/A,0.231,953.012
179,N/A,N/A,0.231,951.033,0.532,N/A,N/A,0.160,1376.871
180,N/A,N/A,0.219,1005.190,0.540,N/A,N/A,0.179,1226.810
181,N/A,N/A,0.211,1041.003,0.548,N/A,N/A,0.229,961.150
182,N/A,N/A,0.266,825.394,0.612,N/A,N/A,0.190,1156.553
183,N/A,N/A,0.234,938.297,0.571,N/A,N/A,0.159,1380.469
184,N/A,N/A,0.223,985.851,0.542,N/A,N/A,0.172,1279.384
185,N/A,N/A,0.225,977.153,0.536,N/A,N/A,0.156,1408.504
186,N/A,N/A,0.218,1005.632,0.543,N/A,N/A,0.157,1401.603
187,N/A,N/A,0.239,920.313,0.536,N/A,N/A,0.183,1202.110
188,N/A,N/A,0.218,1006.516,0.606,N/A,N/A,0.327,672.918
189,N/A,N/A,0.273,803.470,0.921,N/A,N/A,0.231,953.012
190,N/A,N/A,0.223,987.411,0.920,N/A,N/A,0.247,890.475
191,N/A,N/A,0.229,959.941,0.913,N/A,N/A,0.159,1383.250
192,N/A,N/A,0.231,951.296,0.973,N/A,N/A,0.198,1109.999
193,N/A,N/A,0.223,984.297,0.927,N/A,N/A,0.159,1380.469
194,N/A,N/A,0.237,928.904,0.928,N/A,N/A,0.242,906.343
195,N/A,N/A,0.236,930.792,0.917,N/A,N/A,0.160,1369.184
196,N/A,N/A,0.238,922.787,0.927,N/A,N/A,0.158,1388.285
197,N/A,N/A,0.216,1016.500,0.951,N/A,N/A,0.225,977.014
198,N/A,N/A,0.275,798.518,0.928,N/A,N/A,0.168,1309.143
199,N/A,N/A,0.222,988.975,0.928,N/A,N/A,0.181,1215.517
200,N/A,N/A,0.222,988.833,0.914,N/A,N/A,0.198,1112.517
201,N/A,N/A,0.228,962.767,0.930,N/A,N/A,0.170,1291.658
202,N/A,N/A,0.227,967.788,0.928,N/A,N/A,0.157,1397.325
203,N/A,N/A,0.225,974.656,0.927,N/A,N/A,0.156,1407.926
204,N/A,N/A,0.262,840.242,0.921,N/A,N/A,0.218,1006.369
205,N/A,N/A,0.236,932.056,0.928,N/A,N/A,0.158,1391.379
206,N/A,N/A,0.229,960.343,0.994,N/A,N/A,0.237,927.273
207,N/A,N/A,0.215,1022.098,0.943,N/A,N/A,0.229,959.672
208,N/A,N/A,0.255,860.458,0.923,N/A,N/A,0.157,1400.746
209,N/A,N/A,0.294,748.306,0.919,N/A,N/A,0.204,1076.078
210,N/A,N/A,0.267,821.740,0.926,N/A,N/A,0.157,1396.473
211,N/A,N/A,0.257,853.506,0.998,N/A,N/A,0.158,1391.661
212,N/A,N/A,0.227,969.154,0.928,N/A,N/A,0.187,1173.552
213,N/A,N/A,0.227,969.154,0.924,N/A,N/A,0.230,957.264
214,N/A,N/A,0.220,999.921,0.919,N/A,N/A,0.177,1239.656
215,N/A,N/A,0.279,786.265,0.928,N/A,N/A,0.155,1419.276
216,N/A,N/A,0.232,948.930,0.923,N/A,N/A,0.192,1144.982
217,N/A,N/A,0.222,991.832,0.927,N/A,N/A,0.218,1005.632
218,N/A,N/A,0.265,829.783,0.982,N/A,N/A,0.200,1096.352
219,N/A,N/A,0.255,860.135,0.924,N/A,N/A,0.226,971.210
220,N/A,N/A,0.230,955.399,0.927,N/A,N/A,0.186,1179.195
221,N/A,N/A,0.233,942.676,0.915,N/A,N/A,0.156,1407.349
222,N/A,N/A,0.250,878.176,0.915,N/A,N/A,0.183,1202.742
